,loan_amount,status,activity_name,sector_name,country,lender_term,num_lenders_total,num_journal_entries,repayment_interval,female_count,male_count,shortage_fund,posted_raised_hours,mpi,population_in_mpi,Education,Health,Living standards,population_in_severe_mpi,borrower_count,class
10657,950.0,funded,Manufacturing,Manufacturing,Azerbaijan,14.0,34,2,monthly,1,0,0.0,353.0,0.009000000000000001,2.4,20.0,50.7,29.3,0.2,1,2
11305,125.0,funded,Manufacturing,Manufacturing,Philippines,9.0,5,2,monthly,0,1,0.0,4.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
17208,500.0,funded,Goods Distribution,Wholesale,Cambodia,20.0,13,1,monthly,1,0,0.0,86.0,0.15,33.8,30.8,26.4,42.8,11.4,1,1
9236,600.0,funded,Natural Medicines,Health,Cambodia,17.0,16,3,monthly,1,0,0.0,275.0,0.15,33.8,30.8,26.4,42.8,11.4,1,2
17059,800.0,funded,Goods Distribution,Wholesale,Colombia,14.0,28,2,monthly,1,0,0.0,237.0,0.032,7.6,34.3,24.7,41.0,1.8,1,0
17209,650.0,funded,Goods Distribution,Wholesale,Ghana,8.0,24,1,monthly,1,0,0.0,28.0,0.147,32.4,27.2,31.5,41.2,11.1,1,1
9528,525.0,funded,Personal Housing Expenses,Housing,Tajikistan,20.0,9,1,monthly,1,0,0.0,756.0,0.031,7.9,13.4,52.6,34.0,1.2,1,0
17078,325.0,funded,Goods Distribution,Wholesale,Philippines,11.0,10,2,irregular,1,0,0.0,28.0,0.033,6.3,35.3,30.2,34.5,4.2,1,0
8459,150.0,funded,Personal Medical Expenses,Health,Tajikistan,14.0,5,1,monthly,0,1,0.0,203.0,0.031,7.9,13.4,52.6,34.0,1.2,1,2
12250,625.0,funded,Home Appliances,Personal Use,Armenia,20.0,24,4,monthly,0,1,0.0,896.0,0.002,0.6,3.4,87.8,8.7,0.1,1,3
12887,100.0,funded,Home Appliances,Personal Use,Cambodia,8.0,4,1,monthly,1,1,0.0,132.0,0.15,33.8,30.8,26.4,42.8,11.4,2,3
4496,575.0,funded,Bricks,Construction,Peru,7.0,22,1,monthly,1,0,0.0,268.0,0.043,10.4,19.4,29.8,50.8,2.1,1,0
9111,200.0,funded,Personal Medical Expenses,Health,Mexico,9.0,8,1,irregular,1,0,0.0,32.0,0.024,6.0,31.4,25.6,43.0,1.1,1,2
