,country,mpi,population_in_mpi,Education,Health,Living standards,population_in_severe_mpi
0,Afghanistan,0.293,58.8,45.6,19.2,35.2,29.8
1,Albania,0.005,1.2,22.4,47.1,30.5,0.1
2,Argentina,0.015,3.7,38.2,27.8,34.0,0.5
3,Armenia,0.002,0.6,3.4,87.8,8.7,0.1
4,Azerbaijan,0.009000000000000001,2.4,20.0,50.7,29.3,0.2
5,Bangladesh,0.188,40.7,28.4,26.1,45.5,16.0
6,Barbados,0.004,1.2,1.5,95.9,2.6,0.0
7,Belarus,0.001,0.4,2.6,89.7,7.7,0.0
8,Belize,0.03,7.4,36.2,34.8,29.0,1.5
9,Benin,0.34299999999999997,64.2,33.1,24.8,42.1,37.7
10,Bhutan,0.128,29.4,40.3,26.3,33.4,8.8
11,Bolivia (Plurinational State of),0.09699999999999999,20.6,21.9,27.9,50.2,7.8
12,Bosnia and Herzegovina,0.006,1.7,7.8,79.5,12.7,0.0
13,Brazil,0.01,2.4,24.9,45.1,30.1,0.3
14,Burkina Faso,0.508,82.8,39.0,22.5,38.5,63.8
15,Burundi,0.442,81.8,25.0,26.3,48.8,48.2
16,Cambodia,0.15,33.8,30.8,26.4,42.8,11.4
17,Cameroon,0.26,48.2,24.5,31.3,44.2,27.1
18,Central African Republic,0.424,76.3,23.8,26.2,50.0,48.5
19,Chad,0.545,86.9,32.3,22.5,45.2,67.6
20,China,0.023,5.2,30.0,36.6,33.4,1.0
21,Colombia,0.032,7.6,34.3,24.7,41.0,1.8
22,Comoros,0.165,34.3,29.1,25.9,45.0,14.9
23,Congo,0.192,43.0,10.6,32.8,56.6,12.2
24,Congo (Democratic Republic of the),0.369,72.5,15.6,31.0,53.4,36.7
